membrane_type,antibody_concentration,conjugate_type,conjugate_volume,blocking_buffer,strip_width,sample_volume,incubation_time,running_buffer_pH,detection_antibody_type,test_line_antigen_density,control_line_antibody,pad_material,strip_length,buffer_ionic_strength,detergent_concentration,sucrose,storage_temp,humidity,IC50,slope,line_intensity,CV
NC-180,0.8610518554773899,Latex,0.3932109740378509,Casein,4.969269240228003,50.81603000774663,54.65774128876826,6.778199216405562,Rabbit,4.646713086323932,2.364124917083142,Cellulose,30.698725211160106,113.00141780284571,0.40607629236703335,3.0383878074436192,26.233438950037343,12.66382268521376,78.70941780189213,-125.5717687597052,1.0,388.7485347410651
NC-170,2.860301253066146,Latex,0.4265121145214795,FishGel,2.0900639964472156,10.444479450996248,43.32151482144724,7.908401003184197,Goat,4.1590529134480665,0.7235138279830828,Cellulose,37.69492369049877,131.61818245465514,0.8731593591894047,2.6192153936842244,22.874196959431067,38.69164787212198,611.1945565174277,-191.81582807056034,0.0,570.1795287830164
NC-180,2.346785721453477,Latex,1.3119664760609044,FishGel,3.333584759150479,21.586035868482707,10.315232129067928,7.3626432592957425,Mouse,1.6825957934826594,2.175343096617511,Polyester,60.098880602149535,69.45586615929149,0.03216247497705027,4.721760417358752,36.5708375559943,69.99011636783678,1125.8256853109524,-121.93620403387524,0.49472775605066954,390.7784887485007
NC-180,4.920703776088729,Carbon,1.5078643755216992,BSA,3.513857073823087,72.20549614038357,20.079022071976507,8.590290043565302,Mouse,1.2625463819199727,2.420157783058977,GlassFiber,67.48353592425985,174.3452861023191,0.8958438904667899,0.8655751296442243,31.25349289439652,85.7105477990443,1471.7303150821785,-178.2906398647561,0.0,492.03890373317756
NC-170,1.0041750597562356,Carbon,1.1069838935601957,Casein,2.3518404434013354,72.6189047741402,22.603119978691,8.750883339307466,Mouse,1.386904700593761,1.1037109982689457,GlassFiber,33.497963374755464,87.02773122225575,0.6520826828797434,1.2898541982939926,12.735046464463217,40.2254627075924,671.885185542657,-60.768469300833694,0.7486478737246303,85.81776519453851
NC-170,2.2903501957058374,Latex,1.675133691836433,Casein,2.5071853353191487,90.3437511409282,46.97325317600587,8.990423138036562,Rabbit,2.5716630946045442,0.6005664274165962,Polyester,52.31603115242037,252.8867515836832,0.7375381875483787,3.7836953911781364,27.94996522286413,79.76427451035948,1337.3282685843953,-233.01329864515606,0.0,580.2058212322356
NC-180,4.86261694973916,AuNP,1.983400130793903,Casein,3.0554150192310576,60.35518392268537,49.12370485793127,6.46105240742174,Mouse,3.7458423110200316,0.10763325118080573,Cellulose,40.15523384496127,155.14764353922354,0.0026074633926337354,3.876176139789647,11.071911529696239,41.49763252257561,734.1095765809996,-169.01216582445647,0.0,408.80220913673566
NC-135,4.394782066522911,Carbon,1.6580239953267764,FishGel,4.285027628640988,16.790199932808854,26.180836764445623,8.588892139426427,Goat,2.5657741151965143,1.4076205939701298,Cellulose,35.56236503175718,241.25058099793077,0.6282394340372324,2.0244859821958223,29.81743146668591,24.359570179411847,539.6403669673305,-258.0805928198688,0.0,966.0790944869129
NC-180,4.176824319271759,AuNP,1.4202765099843224,Casein,3.5212472721808004,16.53441602297235,27.98361981396853,6.798064130186406,Rabbit,0.43220233955775167,1.1220549214626407,GlassFiber,38.7592091956623,288.61510688465836,0.588486163711026,4.7548921732188,8.869402119252292,10.275691502149575,513.8559230886915,-295.8153369901337,0.0,1114.8920425824392
NC-180,1.6605627217022292,Carbon,1.1117361289305785,FishGel,3.9137056236588847,73.50757394889825,7.4479971601894235,7.772447624686523,Goat,3.645545432155907,1.709238518093686,Polyester,53.1105226999083,262.36948742830896,0.5372055563862999,4.6912728885758535,19.62727650705886,36.41448185223038,923.2457018199889,-208.3217559207514,0.0,811.9333632248176
NC-180,1.2689941432552962,Latex,0.9528208361819456,Casein,4.9555236652720245,22.45954318525061,20.902519513031855,7.517318501607633,Rabbit,4.049253630487674,0.6453191685074787,Polyester,32.60538005775844,287.86591993645493,0.785866856705885,0.06204857530079766,30.090004544100463,40.27800405818972,828.5873976152799,-286.0663792709375,0.0,1017.7998380318992
NC-180,3.5088944896599394,Carbon,0.26034552303463043,Casein,4.304016305939629,36.19662246357751,29.820684744770197,6.053964394717163,Goat,1.5185395390866265,2.593030088232778,Cellulose,47.3687438467367,191.98413171768257,0.5558710963965052,0.8616395117036252,13.243719176116658,85.6094023109869,1481.945845985692,-223.1678561013065,0.0,536.3876037481195
NC-170,4.682191951074136,Latex,0.8588006219499127,BSA,3.3030844944236533,51.28514065758182,11.434067551189166,8.798313839718285,Goat,3.3542161224884173,0.8474901253215179,Cellulose,35.40911403820655,91.33110849513547,0.8570971895598576,4.101097208419357,31.624931129344883,26.485620193649826,402.3429908903464,-78.38286612963881,0.5314895163818312,334.84239271426804
NC-180,3.005433018562684,Carbon,1.829255809886055,Casein,3.3393257653896464,7.352663369734364,29.929710341526174,6.234981165447655,Rabbit,2.1903003151665277,0.7566458547541849,Polyester,40.90708209577926,283.8489885459252,0.23263148640963838,1.6760834241300415,25.256973398121076,40.57845664140038,872.570469570971,-315.86027004914774,0.0,1099.9157608443404
